Gene Set	Condition	evidence_source	Source	biomarker	best_biomarker_role	assessed_biomarker_entity																																																																																																																																																																										
FoundationOne CDx	Breast Carcinoma	32393302	PubMed	FoundationOne CDx molecular profiling for DNA damage repair in {gene}	predictive_biomarker	ERCC2	ERCC3	ERCC4	ERCC5	MLH1	MSH2	MSH6	PMS1	PMS2	BRCA2	BRIP1	FANCA	FANCC	PALB3	RAD51C	BLM	BRCA1	MRE11A	NBN	RAD50	RAD51	RAD51B	RAD51D	RAD52	RAD54L	ATM	ATR	CHECK1	CHEK2	MDC1	POLE	MUTYH	PARP1	RECQL4	EGFR	BRAF	ALK	ROS1	ERBB2	MET	RET	ESR1	PIK3CA	PALB2																																																																																																																															
Protein Biomarkers for Cardiovascular Events	Coronary artery disease	35595781	PubMed	Plasma concentration changes in {gene}	prognostic_biomarker	NPPB	BNP	TIMD4	FGF23	GDF15	PSPD	SPON1																																																																																																																																																																				
Therapeutic Hypothermia Effects	Developmental and epileptic encephalopathy 101	34795631	PubMed	Therapeutic hypothermia affected serum biomarker of {gene}	prognostic_biomarker	BDNF	VEGF	GFAP	TAU																																																																																																																																																																							
Circulating Biomarkers	Rheumatoid Arthritis	34869664	PubMed	Changes in elevated expression levels of {gene}	prognostic_biomarker, diagnostic_biomarker	KIM1	BMP9	TNNT1	NPPB	SLAMF7	IL4RA	THBS2	AGRP	CD4	PRELP	PTX3	CTSL1	ADM	PGF	TNFRSF11A	TEK	SPON2																																																																																																																																																										
One-carbon metabolism biomarkers	Colorectal Cancer	29694444	PubMed	One-carbon metabolism panel including {gene}	prognostic_biomarker	MTHFR	MTHFD1	MTRR	TCN2	CTH	MTR	CBS	DHFR	BHMT	TYMS	SLC19A1	SHMT1	FOLR1																																																																																																																																																														
Heart Failure and CRAS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRAS marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	MMP9	EPHB4	IL2RA	TNFRSF11B	TFF3	CCL2	GRN	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	FAS	MB	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	CTSZ	MMP3	PDGFA	IGFBP2	NPPA	CCL16	ANGPT1	ADM	SLAMF7	PGF	IL4R	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	PRSS27	F3	PDGFB	LGALS9	FGF21	AGER	FGF23	REN	HAVCR1	THBD	VSIG2	PRELP	XCL1	IL16	CEACAM8	PTX3	CCL3	MMP7	DCN	AGRP	FABP6	NPPB	MMP12	ACE2	PDCD1LG2	CTSL	TNFRSF13B	TGM2	CA5A	CD4	GLB1	CNTNAP2	PRDX1	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	NF2	PLXNA4	CKAP4	CLEC4D	TREM1	CXADR	PIK3AP1	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	IL12RB1	LAG3	CD83	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	GPC1	TFPI2	KLK8	S100A4	IGF1R	TGFA	FADD	NECTIN4	EPHA2	CA9	CTSV	CD27	ADAM8	DLL1	MDK	VIM	TNFRSF19	TCL1A	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	CD207	WFDC2	CXCL13	ADAMTS15	RSPO3	MUC16	FCRLB	FOLR1	IL6	AREG																	
Heart Failure and ID	Iron deficiency anemia	34816550	PubMed	Differentially expressed ID marker {gene}	prognostic_biomarker	LDLR	GDF15	SPP1	CASP3	IL1RL1	PON3	PDGFA	IGFBP2	NPPA	TFRC	BMP6	ANGPT1	ADM	CD40LG	PDGFB	FGF23	GH1	DECR1	PTX3	CCL17	NPPB	PPP1R9B	ITGA6	PLXNA4	EGF	TFPI2	CA9	HGF	MDK	PPY	ESM1	MUC16	IL6																																																																																																																																										
Heart Failure and IDA	Iron deficiency anemia	34816550	PubMed	Differentially expressed IDA marker {gene}	prognostic_biomarker	LDLR	ITGB2	TNFRSF1B	MMP9	IL2RA	TFF3	SELP	GDF15	ACP5	EPCAM	TNFSF13B	SPP1	CHI3L1	IL1RL1	PLAT	PON3	PDGFA	IGFBP2	NPPA	TFRC	BMP6	ANGPT1	ADM	IL4R	TNFRSF10B	PDGFB	IL27	CBLIF	FGF21	FGF23	GH1	GLO1	SERPINA12	PTX3	CCL17	FCGR2B	DKK1	AGRP	HBEGF	FABP2	NPPB	CTSL	TGM2	LEP	PARP1	PPP1R9B	GLB1	EDAR	CLEC4A	PRDX1	ITGA6	LILRB4	CKAP4	PIK3AP1	RIGI	ITGA11	EGF	TNFRSF6B	SDC1	TNFSF10	TFPI2	S100A4	CTSV	HGF	MDK	TCL1A	CCN4	PPY	WFDC2	CXCL13	RSPO3	MUC16	GZMB	FCRLB	IL6	KITLG	AREG																																																																																														
Heart Failure and CRAIDS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRAIDS marker {gene}	prognostic_biomarker	TNFRSF14	LDLR	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	CD163	GRN	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	TNFRSF10C	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	FAS	MB	TNFSF13B	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	PON3	CTSZ	MMP3	RARRES2	ICAM2	PDGFA	IGFBP2	NPPA	CCL16	TFRC	BMP6	ANGPT1	ADM	SLAMF7	PGF	IL4R	IL1RN	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	F3	PDGFB	IL27	LGALS9	FGF21	AGER	FGF23	GH1	REN	HAVCR1	THBD	VSIG2	PRELP	XCL1	IL16	CEACAM8	PTX3	CCL3	MMP7	FCGR2B	DCN	AGRP	FABP6	NPPB	MMP12	PDCD1LG2	CTSL	TNFRSF13B	TGM2	CA5A	CD4	HAO1	GLB1	PSIP1	CLEC4G	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	NF2	PLXNA4	CKAP4	CLEC4D	TREM1	CXADR	IL10	KLRD1	PIK3AP1	STC1	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	IL12RB1	LAG3	CD83	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	CD48	IFNGR1	KLK11	GPC1	TFPI2	KLK8	IGF1R	TGFA	NECTIN4	EPHA2	CA9	CTSV	CD27	XPNPEP2	HGF	ADAM8	DLL1	MDK	ABL1	VIM	TNFRSF19	TCL1A	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	WFDC2	CXCL13	ADAMTS15	CD70	RSPO3	MUC16	WIF1	GZMB	FCRLB	FOLR1	IL6	AREG
Heart Failure and Anemia	Anemia	34816550	PubMed	Differentially expressed Anemia marker {gene}	prognostic_biomarker	MMP9	PDGFA	ANGPT1	CD40LG	PDGFB	GLO1	DKK1	HBEGF	TGM2	PPP1R9B	GLB1	IRAK4	HCLS1	EDAR	IRAK1	PRDX1	PRDX5	ITGA6	TRIM21	NF2	PLXNA4	SH2B3	PIK3AP1	ICA1	DAPP1	EGF	S100A4	FADD	METAP2	CDKN1A	LYN	GZMB																																																																																																																																											
